deal_id,as_of_date,object_type,object_id,metric,value,unit,bloomberg_function,bloomberg_field,notes
ARES_2023_68A,,deal,ARES_2023_68A,interest_diversion_ratio,108.42,percent,Bloomberg TRIG panel export (ARES_2023_68A_BR_TRIG),,trigger 104.70
ARES_2023_68A,,deal,ARES_2023_68A,eod_oc_ratio,162.86,percent,Bloomberg TRIG panel export (ARES_2023_68A_BR_TRIG),,trigger 102.50
ARES_2023_68A,,collateral,rating_cohort_A,cohort_wa_price,93.7966,price,derived from lld_ares_2023.xlsx (Bloomberg collateral export),,"par-weighted, priced non-defaulted rows; proxy source for unpriced loans"
ARES_2023_68A,,collateral,rating_cohort_A+,cohort_wa_price,88.814,price,derived from lld_ares_2023.xlsx (Bloomberg collateral export),,"par-weighted, priced non-defaulted rows; proxy source for unpriced loans"
ARES_2023_68A,,collateral,rating_cohort_A-,cohort_wa_price,92.3904,price,derived from lld_ares_2023.xlsx (Bloomberg collateral export),,"par-weighted, priced non-defaulted rows; proxy source for unpriced loans"
ARES_2023_68A,,collateral,rating_cohort_AA-,cohort_wa_price,89.401,price,derived from lld_ares_2023.xlsx (Bloomberg collateral export),,"par-weighted, priced non-defaulted rows; proxy source for unpriced loans"
ARES_2023_68A,,collateral,rating_cohort_B,cohort_wa_price,98.3367,price,derived from lld_ares_2023.xlsx (Bloomberg collateral export),,"par-weighted, priced non-defaulted rows; proxy source for unpriced loans"
ARES_2023_68A,,collateral,rating_cohort_B+,cohort_wa_price,98.3182,price,derived from lld_ares_2023.xlsx (Bloomberg collateral export),,"par-weighted, priced non-defaulted rows; proxy source for unpriced loans"
ARES_2023_68A,,collateral,rating_cohort_B-,cohort_wa_price,95.6592,price,derived from lld_ares_2023.xlsx (Bloomberg collateral export),,"par-weighted, priced non-defaulted rows; proxy source for unpriced loans"
ARES_2023_68A,,collateral,rating_cohort_BB,cohort_wa_price,99.8082,price,derived from lld_ares_2023.xlsx (Bloomberg collateral export),,"par-weighted, priced non-defaulted rows; proxy source for unpriced loans"
ARES_2023_68A,,collateral,rating_cohort_BB+,cohort_wa_price,100.0165,price,derived from lld_ares_2023.xlsx (Bloomberg collateral export),,"par-weighted, priced non-defaulted rows; proxy source for unpriced loans"
ARES_2023_68A,,collateral,rating_cohort_BB-,cohort_wa_price,99.9176,price,derived from lld_ares_2023.xlsx (Bloomberg collateral export),,"par-weighted, priced non-defaulted rows; proxy source for unpriced loans"
ARES_2023_68A,,collateral,rating_cohort_BBB,cohort_wa_price,100.5814,price,derived from lld_ares_2023.xlsx (Bloomberg collateral export),,"par-weighted, priced non-defaulted rows; proxy source for unpriced loans"
ARES_2023_68A,,collateral,rating_cohort_BBB+,cohort_wa_price,96.4376,price,derived from lld_ares_2023.xlsx (Bloomberg collateral export),,"par-weighted, priced non-defaulted rows; proxy source for unpriced loans"
ARES_2023_68A,,collateral,rating_cohort_BBB-,cohort_wa_price,99.856,price,derived from lld_ares_2023.xlsx (Bloomberg collateral export),,"par-weighted, priced non-defaulted rows; proxy source for unpriced loans"
ARES_2023_68A,,collateral,rating_cohort_CCC,cohort_wa_price,65.3572,price,derived from lld_ares_2023.xlsx (Bloomberg collateral export),,"par-weighted, priced non-defaulted rows; proxy source for unpriced loans"
ARES_2023_68A,,collateral,rating_cohort_CCC+,cohort_wa_price,63.4061,price,derived from lld_ares_2023.xlsx (Bloomberg collateral export),,"par-weighted, priced non-defaulted rows; proxy source for unpriced loans"
ARES_2023_68A,,collateral,rating_cohort_CCC-,cohort_wa_price,37.9212,price,derived from lld_ares_2023.xlsx (Bloomberg collateral export),,"par-weighted, priced non-defaulted rows; proxy source for unpriced loans"
ARES_2023_68A,2026-06-18,tranche,A1R,current_balance,307500000.0,USD,market_value_overview_ares_2023.xlsx,,all-in cpn 4.977%; reported %Sub 38.6%
ARES_2023_68A,2026-06-18,tranche,A2R,current_balance,20000000.0,USD,market_value_overview_ares_2023.xlsx,,all-in cpn 5.267%; reported %Sub 34.6%
ARES_2023_68A,2026-06-18,tranche,BR,current_balance,52500000.0,USD,market_value_overview_ares_2023.xlsx,,all-in cpn 5.367%; reported %Sub 24.1%
ARES_2023_68A,2026-06-18,tranche,CR,current_balance,30000000.0,USD,market_value_overview_ares_2023.xlsx,,all-in cpn 5.617%; reported %Sub 18.1%
ARES_2023_68A,2026-06-18,tranche,D1R,current_balance,27500000.0,USD,market_value_overview_ares_2023.xlsx,,all-in cpn 6.667%; reported %Sub 12.6%
ARES_2023_68A,2026-06-18,tranche,D2R,current_balance,7500000.0,USD,market_value_overview_ares_2023.xlsx,,all-in cpn 7.817%; reported %Sub 11.1%
ARES_2023_68A,2026-06-18,tranche,ER,current_balance,15000000.0,USD,market_value_overview_ares_2023.xlsx,,all-in cpn 9.667%; reported %Sub 8.1%
ARES_2023_68A,2026-06-18,tranche,F,current_balance,500000.0,USD,market_value_overview_ares_2023.xlsx,,all-in cpn 13.747%; reported %Sub 8.0%
ARES_2023_68A,2026-06-18,tranche,SUB,current_balance,35900000.0,USD,market_value_overview_ares_2023.xlsx,,all-in cpn 0.0%; reported %Sub 0.0%
ARES_2023_68A,2026-06-18,tranche,BR,syt_price,94.81,price,SYT export 20260618 (settle 2026-06-22),,collect remaining classes' SYT prices for the full tranche-mark set
ARES_2023_68A,2026-05-25,deal,ARES_2023_68A,tsfr3m_start,3.65621,percent,CFT Index Rates sheet,TSFR3M,Bloomberg projection curve start; mimic-mode reference_rate
ARES_2023_68A,2026-05-25,deal,ARES_2023_68A,cft_opening_total_balance,500807340.42,USD,CFT Collateral sheet,,= CLP 05/2026 Total Bal (collateral par + principal acct) — ties to the cent
